               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087095,            0.022123,                   0,              0.4801,             0.59459,             0.52518,             0.19652,             0.03539,            0.010992,                   0,            0.070476,           0.0032804,           0.0032804
                   1,            0.051411,            0.019031,                   0,             0.83929,             0.87512,             0.90001,             0.38004,             0.03067,           0.0057181,                   0,            0.040149,           0.0062864,           0.0062864
                   2,            0.044233,            0.016106,                   0,             0.71493,             0.86759,             0.80172,             0.38064,            0.025636,           0.0059079,                   0,           0.0094914,           0.0089623,           0.0089623
                   3,            0.042931,            0.014496,                   0,             0.97417,             0.93514,             0.98354,              0.5941,            0.018189,           0.0043364,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.036517,            0.013447,                   0,             0.96283,             0.98015,             0.99068,             0.56117,            0.020034,           0.0044209,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.034574,            0.013139,                   0,             0.98664,             0.98378,              0.9905,              0.6047,            0.016077,           0.0041053,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.030909,            0.012879,                   0,             0.99257,             0.99459,             0.99462,              0.6434,            0.015869,            0.003625,                   0,            0.007525,            0.007525,            0.007525
                   7,             0.02842,            0.012161,                   0,             0.99461,                   1,               0.995,             0.66261,            0.014586,           0.0034742,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.028991,            0.012134,                   0,              0.9887,             0.99459,              0.9914,             0.66759,            0.014794,            0.003656,                   0,            0.006535,            0.006535,            0.006535
                   9,             0.02738,             0.01184,                   0,             0.99939,                   1,               0.995,             0.67144,            0.013559,           0.0034456,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.027064,            0.011898,                   0,             0.99361,             0.98919,             0.99174,             0.67519,            0.013867,           0.0034942,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.027315,            0.011517,                   0,             0.99459,              0.9934,              0.9923,             0.66308,            0.013741,           0.0036987,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.025446,            0.011692,                   0,             0.99414,             0.98919,             0.99147,             0.69441,            0.013643,           0.0034103,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.023631,            0.011073,                   0,              0.9995,                   1,               0.995,             0.69493,            0.013151,            0.003402,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.023104,            0.011076,                   0,             0.99446,             0.99459,             0.99273,               0.688,            0.013316,           0.0033769,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.022438,            0.011048,                   0,             0.99919,                   1,               0.995,             0.70166,            0.012713,            0.003329,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.022291,            0.010674,                   0,             0.99942,                   1,               0.995,             0.69446,            0.012826,           0.0033775,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.021667,            0.010634,                   0,              0.9994,                   1,               0.995,             0.70214,            0.012461,           0.0032704,                   0,             0.00208,             0.00208,             0.00208
                  18,             0.02111,             0.01069,                   0,             0.99384,             0.99459,             0.99262,              0.7058,            0.012647,           0.0033153,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.021415,            0.010375,                   0,             0.99928,             0.99459,               0.995,             0.69497,            0.012712,           0.0033679,                   0,             0.00109,             0.00109,             0.00109
